Time Step,Total platen displacement (mm),Strain from platen (%),Average platen force (kN),Stress (MPa),Perimeter (mm),Lateral strain (%),Strain x (%),Strain y (%)
0,0,0,0,0,52,0,0,0
2000,0.0036,0.0036,0.055326602,1.106532034,52.0004811,-0.000925199,-0.000768985,0.003555291
4000,0.0072,0.0072,0.110463185,2.209263695,52.00084015,-0.001615675,-0.001320412,0.006582514
6000,0.0108,0.0108,0.163971049,3.27942098,52.00129957,-0.002499169,-0.002077444,0.009881348
8000,0.0144,0.0144,0.216654729,4.333094576,52.00176064,-0.003385849,-0.002829891,0.013206878
10000,0.018,0.018,0.269393264,5.387865288,52.00221209,-0.004254012,-0.003559707,0.016515578
12000,0.0216,0.0216,0.322138936,6.442778728,52.00266307,-0.005121285,-0.004288791,0.019824799
14000,0.0252,0.0252,0.374860436,7.497208727,52.00311487,-0.005990143,-0.005020023,0.023136153
16000,0.0288,0.0288,0.427569151,8.551383021,52.00356706,-0.006859724,-0.005752363,0.026448305
18000,0.0324,0.0324,0.480267866,9.60535732,52.00401957,-0.007729951,-0.006485736,0.029761224
20000,0.036,0.036,0.53295551,10.6591102,52.00447247,-0.008600901,-0.007220249,0.033075037
22000,0.0396,0.0396,0.585630816,11.71261631,52.00492574,-0.009472579,-0.007955909,0.036389737
24000,0.0432,0.0432,0.638293475,12.7658695,52.00537941,-0.010345011,-0.008692737,0.039705404
26000,0.0468,0.0468,0.690943674,13.81887348,52.00583348,-0.011218228,-0.009430912,0.043021973
28000,0.0504,0.0504,0.74358087,14.8716174,52.006288,-0.012092315,-0.01017049,0.046339702
30000,0.054,0.054,0.796204629,15.92409258,52.006743,-0.012967304,-0.010911516,0.049658642
32000,0.0576,0.0576,0.848814473,16.97628945,52.00719848,-0.013843237,-0.011654157,0.052978822
34000,0.0612,0.0612,0.901409789,18.02819578,52.00765449,-0.014720167,-0.012398451,0.056300374
36000,0.0648,0.0648,0.953989921,19.07979843,52.00811104,-0.015598149,-0.013144533,0.059623378
38000,0.0684,0.0684,1.006554152,20.13108304,52.00856817,-0.016477245,-0.013892541,0.062947936
40000,0.072,0.072,1.059101687,21.18203374,52.00902591,-0.017357524,-0.014642595,0.066274189
42000,0.0756,0.0756,1.111631646,22.23263292,52.00948431,-0.018239061,-0.015394875,0.069602268
44000,0.0792,0.0792,1.164143047,23.28286094,52.00994341,-0.019121945,-0.016149565,0.072932341
46000,0.0828,0.0828,1.216634763,24.33269526,52.01040326,-0.020006275,-0.016906877,0.076264599
48000,0.0864,0.0864,1.269105551,25.38211102,52.01086392,-0.020892163,-0.017667067,0.079599263
50000,0.09,0.09,1.321554005,26.43108011,52.01132546,-0.021779738,-0.018430425,0.082936604
52000,0.0936,0.0936,1.373978496,27.47956992,52.01178796,-0.02266915,-0.019197302,0.086276941
54000,0.0972,0.0972,1.426377122,28.52754243,52.0122515,-0.023560577,-0.019968126,0.089620664
56000,0.1008,0.1008,1.478747645,29.57495289,52.0127162,-0.024454232,-0.020743417,0.092968264
58000,0.1044,0.1044,1.531087387,30.62174773,52.01318219,-0.025350374,-0.021523831,0.09632036
60000,0.108,0.108,1.583393072,31.66786144,52.01364965,-0.026249324,-0.022310214,0.099677767
62000,0.1116,0.1116,1.635660589,32.71321178,52.01411878,-0.027151491,-0.023103687,0.103041596
64000,0.1152,0.1152,1.687884559,33.75769118,52.01458986,-0.028057416,-0.023905813,0.106413428
66000,0.1188,0.1188,1.740058351,34.80116703,52.01506328,-0.028967843,-0.024718889,0.109795706
68000,0.1224,0.1224,1.792172774,35.84345547,52.01553962,-0.029883881,-0.025546617,0.113192727
70000,0.126,0.126,1.844213856,36.88427711,52.01601979,-0.03080729,-0.026395015,0.116611507
72000,0.1296,0.1296,1.896157778,37.92315556,52.01650545,-0.031741243,-0.027276009,0.12006711
74000,0.133200001,0.133200001,1.947957175,38.95914349,52.01700017,-0.032692637,-0.028215308,0.123584851
76000,0.136800001,0.136800001,1.999414823,39.98829647,52.01752252,-0.033697163,-0.029378126,0.127270653
78000,0.140400001,0.140400001,2.049599201,40.99198402,52.01816124,-0.034925462,-0.031463076,0.131593823
80000,0.144000001,0.144000001,2.097864084,41.95728168,52.01896322,-0.036467739,-0.034615323,0.135935677
82000,0.147600001,0.147600001,2.138726872,42.77453745,52.02036806,-0.039169352,-0.041591091,0.136866479
84000,0.151200001,0.151200001,1.977186132,39.54372263,52.0332409,-0.063924817,-0.110874563,0.119609208
86000,0.154800001,0.154800001,0.972182417,19.44364834,52.08346689,-0.160513245,-0.360726519,0.062056391
88000,0.158400001,0.158400001,0.227534808,4.550696157,52.13654977,-0.262595704,-0.658517106,0.012424812
90000,0.162000001,0.162000001,0.173515077,3.470301531,52.19327203,-0.371676977,-0.951769062,0.017630355
92000,0.165600001,0.165600001,0.043097383,0.861947667,52.25092505,-0.482548166,-1.244525534,0.026038716
94000,0.169200001,0.169200001,0.022144697,0.442893938,52.30725659,-0.590878054,-1.529143928,0.026061361
96000,0.172800001,0.172800001,0.002808073,0.056161458,52.36248115,-0.697079143,-1.807112868,0.027221497
98000,0.176400001,0.176400001,0,0,52.4195112,-0.806752304,-2.0937888,0.031931753
100000,0.180000001,0.180000001,0.001986133,0.039722653,52.47610528,-0.915587074,-2.377927907,0.036707172
