step,time_ms,axial_strain,axial_strain_percent,axial_stress_mpa,mean_platen_force_kn,top_platen_force_kn,bottom_platen_force_kn,centre_sigma_xx_mpa,centre_sigma_yy_mpa,centre_tau_xy_mpa,maximum_damage,yielded_interfaces,broken_interfaces,maximum_opening_um,maximum_slip_um,kinetic_energy_j,bulk_strain_energy_j,cohesive_stored_energy_j,contact_energy_j,fracture_dissipation_j,damping_dissipation_j,external_work_j,kinetic_to_internal_ratio,energy_residual_j
0,0.0,0.0,0.0,6.875383992704941e-14,3.4376919963524713e-15,2.916644045715176e-15,3.958739946989767e-15,-2.863317836988792e-14,1.6725970494868144e-13,-4.0069888552361114e-14,0.0,0,0,0.0,0.0,0.0,2.2021298768290615e-29,0.0,0.0,0.0,0.0,0.0,0.0,-2.2021298768290615e-29
500,0.005757214441223469,5.8831428465103935e-09,5.883142846510394e-07,0.0011353360666414094,5.676680333207047e-05,5.6948243948196236e-05,5.6585362715944724e-05,-3.275690369243588e-10,-1.6473102797270064e-09,-7.838455763363336e-10,0.0,0,0,3.5455533997359013e-10,2.4131049294231148e-06,1.2084944874359685e-11,1.0636433971233836e-11,7.615812618420298e-14,0.0,0.0,4.708074482904787e-13,1.9477810661530114e-11,1.1281065090933886,-3.790533758538087e-12
1000,0.011514428882446939,4.700743823520603e-08,4.7007438235206025e-06,0.00489929041523486,0.000244964520761743,0.0002453863104436914,0.0002445427310797946,-2.161961011939419e-06,-9.406466027496066e-06,-2.536126988727702e-08,0.0,0,0,0.0,1.0003284790656343e-05,3.5766478534270837e-10,3.4946172319759607e-10,2.288158276946183e-12,0.0,0.0,2.7244562362081913e-11,6.790205198169399e-10,1.0168156527682986,-5.76387093623926e-11
1500,0.01727164332367041,1.5832602134791972e-07,1.5832602134791972e-05,0.011376495615485802,0.0005688247807742901,0.0005694452382822727,0.0005682043232663074,-0.00026261633555697795,-0.0011822276543788845,-1.0428513379730355e-05,0.0,0,0,0.0,2.3585494779274164e-05,2.607870201807934e-09,2.6777594945933096e-09,1.8146280489706957e-11,0.0,0.0,2.982628295534742e-10,5.325338920471568e-09,0.9673447143113257,-2.766998859728565e-10
2000,0.023028857764893877,3.742183465415327e-07,3.742183465415327e-05,0.02062992457882082,0.001031496228941041,0.001032302353469122,0.0010306901044129597,-0.0011112206561785236,-0.006341267658260321,2.5200705800335203e-06,0.0,0,0,0.0,4.340489656009348e-05,1.002858827402451e-08,1.194949832573736e-08,8.425786766797972e-11,0.0,0.0,1.5856861178815307e-09,2.283702926991345e-08,0.8333714023157881,-8.110013153979293e-10
2500,0.028786072206117345,7.282092124371292e-07,7.282092124371292e-05,0.0331435624474938,0.0016571781223746903,0.0016582726339577833,0.001656083610791597,-0.0012864767855527248,-0.016426356720440252,-4.031715758351672e-06,0.0,0,0,0.0,7.04174002643608e-05,2.5420981975528167e-08,4.1269448645015094e-08,2.998339621056265e-10,0.0,0.0,5.399327463491055e-09,7.064897611581301e-08,0.6115328526543686,-1.7406159303269464e-09
3000,0.03454328664734082,1.252694771902369e-06,0.0001252694771902369,0.05157682864429217,0.002578841432214609,0.002580129182351276,0.0025775536820779417,-0.0007888069318765055,-0.03174791678260718,-1.762670496566448e-05,0.0,0,0,0.0,0.00011061708338547508,5.126626208156059e-08,1.1875377688200602e-07,8.786423041357371e-10,0.0,0.0,1.3752844361458993e-08,1.8174624767826493e-07,0.42853151704466474,-2.905277950896429e-09
3500,0.04030050108856429,1.9786777661808833e-06,0.00019786777661808831,0.07680604016618812,0.003840302008309406,0.0038419245305511113,0.0038386794860677006,-0.0004836901920950213,-0.05227288256181241,-2.4301188180658363e-05,0.0,0,0,0.0,0.00016547404674172405,9.358117106936115e-08,2.933430253348591e-07,2.19150829966484e-09,0.0,0.0,2.962212112657436e-08,4.1508516907024216e-07,0.31665054475525134,-3.6526567602173203e-09
4000,0.046057715529787754,2.9355141470356167e-06,0.00029355141470356166,0.10918097604609006,0.0054590488023045025,0.005460830232966646,0.005457267371642359,-0.001131312471768923,-0.07961820085101445,-3.629090396784432e-05,0.0,0,0,0.0,0.00023582091120686726,1.590423384094769e-07,6.419729858761201e-07,4.823025769033658e-09,0.0,0.0,5.745220458798278e-08,8.606301555740505e-07,0.24589257748350335,-2.660399068562887e-09
4500,0.051814929971011225,4.150673157701728e-06,0.0004150673157701728,0.14907799239163796,0.007453899619581899,0.007455839095065601,0.0074519601440981974,-0.00193361742325411,-0.11539856986118212,-4.1075087341926825e-05,0.0,0,0,0.0,0.00032268626922156326,2.5299598268297964e-07,1.2784007857354263e-06,9.643549857100713e-09,0.0,0.0,1.0307911686085293e-07,1.6462493433271486e-06,0.19641869126080683,2.129908190789106e-09
5000,0.05757214441223469,5.649512833448905e-06,0.0005649512833448905,0.19727158591242544,0.009863579295621273,0.009865784779227843,0.009861373812014703,-0.0016551266980118456,-0.16033265125565307,-5.960381503236915e-05,0.0,0,0,0.0,0.0004278446908076566,3.775115104155922e-07,2.362553328466212e-06,1.7888429104773643e-08,0.0,0.0,1.7316619496934394e-07,2.9448201938573863e-06,0.1585888456270431,1.370073090146442e-08
5500,0.06332935885345817,7.455072756532506e-06,0.0007455072756532506,0.2552210885781854,0.012761054428909268,0.012763785556908226,0.01275832330091031,-0.0008906982414676658,-0.21461693015766697,-8.620372093439907e-05,0.0,0,0,1.837621504885145e-06,0.0005549359952757071,5.373713531843617e-07,4.1083251711554035e-06,3.1213548834968385e-08,0.0,0.0,2.7498327664621527e-07,4.988525769878525e-06,0.12981430771243313,3.663242005757629e-08
6000,0.06908657329468164,9.587885759296664e-06,0.0009587885759296664,0.3231149497735082,0.01615574748867541,0.016158579958849045,0.016152915018501777,-0.0005816488501403864,-0.2785236888627463,-0.00010962767897190855,0.0,0,0,4.001725360468546e-06,0.0007035217469506782,7.38312932160558e-07,6.789099292900026e-06,5.17083950291278e-08,0.0,0.0,4.17164938132504e-07,8.073816389145677e-06,0.10792774272303213,7.753083092346065e-08
6500,0.0748437877359051,1.2065810114334248e-05,0.001206581011433425,0.40158897858071696,0.020079448929035848,0.02008221830492902,0.02007667955314268,-0.0011523305589229214,-0.3529761697284352,-0.00013565018720163892,0.0,0,0,4.242065436494115e-06,0.0008750335912062693,9.846419246166166e-07,1.0744791806334642e-05,8.194620369148536e-08,0.0,0.0,6.093839270704325e-07,1.256518680167588e-05,0.09094539128080743,1.444229399627039e-07
7000,0.08060100217712858,1.4903883583172502e-05,0.0014903883583172503,0.49088619684758705,0.024544309842379354,0.02454723337274065,0.024541386312018063,-0.0013709093173939748,-0.4387290380053352,-0.00016283165494760223,0.0,0,0,5.621169769814969e-06,0.0010704639747577873,1.2801157417354049e-06,1.638647161524861e-05,1.2509655620684047e-07,0.0,0.0,8.622947328889411e-07,1.890049665092064e-05,0.07752841695245026,2.4651800484084513e-07
7500,0.08635821661835204,1.8114200516308957e-05,0.0018114200516308957,0.5913342687675708,0.029566713438378536,0.029569893009455395,0.02956353386730167,-0.0006836595340504155,-0.5362036494790046,-0.0001877949719331715,0.0,0,0,8.998937210129729e-06,0.0012910295667666529,1.6237682324340828e-06,2.4198169611962216e-05,1.8496030341644578e-07,0.0,0.0,1.1868454990167647e-06,2.758901916101444e-05,0.06659392120984262,3.952755141849312e-07
8000,0.09211543105957551,2.17058130090292e-05,0.0021705813009029198,0.7032159873169473,0.035160799365847366,0.03516442051620545,0.0351571782154893,0.00024286759402458247,-0.6456021837745811,-0.00023453639590514987,0.0,0,0,1.3878602359914022e-05,0.0015390051134937597,2.0159355199934657e-06,3.473664718828977e-05,2.6585517782366744e-07,0.0,0.0,1.5938903544529755e-06,3.921722654826042e-05,0.05759403996055807,6.048983077005401e-07
8500,0.09787264550079897,2.568465692083581e-05,0.0025684656920835812,0.8266926099461843,0.04133463049730922,0.041338363120335404,0.04133089787428303,0.0006062107898610772,-0.7666514688713767,-0.0003043390713633895,0.0,0,0,1.7379444033944065e-05,0.0018124220487819218,2.451994571341241e-06,4.862906419066271e-05,3.7251565722897643e-07,0.0,0.0,2.0938169639701886e-06,5.44394893285139e-05,0.050039092187488705,8.920979453107814e-07
9000,0.10362985994202245,3.0053503363113674e-05,0.0030053503363113676,0.9622276906567079,0.048111384532835394,0.048115526297212136,0.04810724276845865,0.0005484700454207969,-0.8997421313712627,-0.00036121672264397545,0.0,0,0,1.9908118920643965e-05,0.00211230207236439,2.932918654319216e-06,6.656930399942442e-05,5.10210413438952e-07,0.0,0.0,2.6964263668253026e-06,7.398320752429545e-05,0.04372301558815086,1.2743480902875528e-06
9500,0.10938707438324592,3.481193605151129e-05,0.003481193605151129,1.1094386758435657,0.05547193379217829,0.055476390051455146,0.05546747753290143,0.0010458955293422732,-1.0448416124864213,-0.00039782294649155553,0.0,0,0,2.429295289872278e-05,0.002439966458434033,3.4592165492035967e-06,8.930845878702095e-05,6.848286024986675e-07,0.0,0.0,3.4119967473164365e-06,9.863460343837959e-05,0.03843860636217239,1.7701027523399398e-06
10000,0.11514428882446938,3.995635470813142e-05,0.003995635470813142,1.2681207156987422,0.0634060357849371,0.06341053865698199,0.06340153291289222,0.0019877552018214466,-1.2021695745992425,-0.0004558538472599245,0.0,0,0,3.0206435052691756e-05,0.002793978946653792,4.02330014499597e-06,0.00011764416985040581,9.026698761001571e-07,0.0,0.0,4.249899980028283e-06,0.00012921987675434694,0.033938485026492,2.39983690281673e-06
10500,0.12090150326569286,4.548000448572589e-05,0.004548000448572589,1.4378290264268427,0.07189145132134213,0.07189616812158457,0.0718867345210997,0.0030074419822679155,-1.3713834257819795,-0.000488469970414781,0.0,0,0,3.658767264723518e-05,0.003173125819369194,4.6134360734320635e-06,0.0001524076403430263,1.1700994500924002e-06,0.0,0.0,5.217454853456708e-06,0.00016659518137407303,0.03003974455963947,3.186550654065551e-06
11000,0.12665871770691634,5.1373031173417666e-05,0.005137303117341767,1.618717147741055,0.08093585738705275,0.08094103122662215,0.08093068354748334,0.003771853335766517,-1.5520371799742065,-0.0005410650958951853,0.0,0,0,4.242716505649014e-05,0.0035769579392530204,5.217286955304182e-06,0.00019445027165928663,1.4934987954425266e-06,0.0,0.0,6.318876884136819e-06,0.0002116338046533756,0.026626449737066703,4.153870359205455e-06
