Time (s),average force ratio,displacement magnitude (m),displacement x (m),displacement y (m),displacement (polar) r (m),displacement (polar) θ (m),fluid pressure (Pa),force magnitude (N),force x (N),force y (N),local force ratio,maximum force ratio,maximum local force ratio,mechanical time (s),velocity magnitude (m/s),velocity x (m/s),velocity y (m/s),velocity (polar) r (m/s),velocity (polar) θ (m/s),Case
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Case 1
0.005,0.00280971,1.94991e-05,-1.00096e-06,-3.57225e-07,-4.63992e-06,1.6113e-07,0,9.35454,0.247211,0.232531,2.7942e-06,0.88663,0.729124,0.005,0.00525299,-0.000312675,-0.000395542,-0.00355844,2.64176e-05,Case 1
0.01,0.00280668,3.02963e-05,-1.36024e-06,-2.05922e-06,-1.56524e-05,-9.69139e-08,0,2.57726,0.427923,0.557289,7.48357e-07,0.885908,0.729142,0.01,0.00351061,1.36426e-05,-0.000109765,-0.00348965,-6.89472e-05,Case 1
0.015,0.00280895,4.89489e-05,-1.06896e-07,-2.15811e-06,-4.35033e-05,3.78764e-07,0,22.906,-4.3807,-0.638572,6.6012e-06,0.885616,0.729234,0.015,0.0210526,-7.48083e-06,-0.000693326,-0.0209415,0.000101019,Case 1
0.02,0.00281128,0.000150949,-2.25925e-06,-5.38413e-06,-0.000148728,6.14908e-07,0,2.51392,-0.410628,0.206216,7.84449e-07,0.887364,0.729122,0.02,0.0220042,-0.000502162,-0.000504023,-0.0219516,-0.000103955,Case 1
0.025,0.00281185,0.00027418,-7.07187e-06,-7.48726e-06,-0.000272127,-3.21061e-07,0,6.303,-0.828693,-0.224179,1.78876e-06,0.888039,0.729096,0.025,0.0284846,-0.00147235,-0.000473948,-0.0283424,-0.000114259,Case 1
0.03,0.00281073,0.000440188,-1.60728e-05,-1.08676e-05,-0.000436974,-2.01448e-07,0,6.3234,-0.22747,-0.101463,1.89922e-06,0.887159,0.729277,0.03,0.0380729,-0.002009,-0.00083318,-0.0377402,8.24507e-05,Case 1
0.035,0.00281395,0.000649623,-2.61655e-05,-1.52016e-05,-0.000644608,3.07661e-08,0,7.25178,-0.125667,-0.11797,2.29925e-06,0.887453,0.729288,0.035,0.0457307,-0.00202507,-0.000900896,-0.0453893,2.64479e-05,Case 1
0.04,0.00281901,0.00091744,-3.69397e-05,-2.09169e-05,-0.000911227,2.40373e-07,0,14.3342,-0.463892,-0.422265,4.49021e-06,0.889117,0.729303,0.04,0.0631352,-0.0023164,-0.00146285,-0.0629193,3.52252e-05,Case 1
0.045,0.00282536,0.00129631,-4.99289e-05,-3.00358e-05,-0.0012892,5.01286e-08,0,25.4149,-1.36576,-0.509342,7.73112e-06,0.890508,0.729351,0.045,0.0912891,-0.00303775,-0.00221143,-0.0909739,-0.000103421,Case 1
