Time (ms),mass (µg),stresses magnitude (Pa)
0,1.92607e+06,4.47214e+07
0.2,1.92607e+06,4.337e+07
0.4,1.92607e+06,4.53578e+07
0.6,1.92607e+06,4.42778e+07
0.8,1.92607e+06,4.45869e+07
1,1.92607e+06,4.46036e+07
1.196,1.92607e+06,4.48849e+07
1.392,1.92607e+06,4.52898e+07
1.588,1.92607e+06,4.57064e+07
1.784,1.92607e+06,4.62558e+07
1.98,1.92607e+06,4.69144e+07
2.176,1.92607e+06,4.74919e+07
2.372,1.92607e+06,4.79572e+07
2.568,1.92607e+06,4.83912e+07
2.764,1.92607e+06,4.88423e+07
2.96,1.92607e+06,4.92476e+07
3.156,1.92607e+06,4.95932e+07
3.352,1.92607e+06,4.98653e+07
3.548,1.92607e+06,5.01484e+07
3.744,1.92607e+06,5.04423e+07
3.94,1.92607e+06,5.06947e+07
4.136,1.92607e+06,5.09285e+07
4.332,1.92607e+06,5.1162e+07
4.528,1.92607e+06,5.14063e+07
4.724,1.92607e+06,5.16261e+07
4.92,1.92607e+06,5.18615e+07
5.116,1.92607e+06,5.20631e+07
5.312,1.92607e+06,5.22668e+07
5.508,1.92607e+06,5.2438e+07
5.704,1.92607e+06,5.26038e+07
5.9,1.92607e+06,5.27588e+07
6.096,1.92607e+06,5.29364e+07
6.292,1.92607e+06,5.31264e+07
6.488,1.92607e+06,5.33302e+07
6.684,1.92607e+06,5.35201e+07
6.88,1.92607e+06,5.37008e+07
7.076,1.92607e+06,5.386e+07
7.272,1.92607e+06,5.40153e+07
7.468,1.92607e+06,5.41621e+07
7.664,1.92607e+06,5.43088e+07
7.86,1.92607e+06,5.44647e+07
8.056,1.92607e+06,5.46202e+07
8.252,1.92607e+06,5.4768e+07
8.448,1.92607e+06,5.49164e+07
8.644,1.92607e+06,5.50516e+07
8.84,1.92607e+06,5.51875e+07
9.036,1.92607e+06,5.53286e+07
9.232,1.92607e+06,5.5464e+07
9.428,1.92607e+06,5.55933e+07
9.624,1.92607e+06,5.57118e+07
9.82,1.92607e+06,5.58431e+07
10.016,1.92607e+06,5.59549e+07
10.212,1.92607e+06,5.60676e+07
10.408,1.92607e+06,5.61836e+07
10.604,1.92607e+06,5.6295e+07
10.8,1.92607e+06,5.64012e+07
10.996,1.92607e+06,5.65115e+07
11.192,1.92607e+06,5.66279e+07
11.388,1.92607e+06,5.67358e+07
11.584,1.92607e+06,5.68456e+07
11.78,1.92607e+06,5.69393e+07
