step,mechanical_time_ms,phase,heating_fraction,thermal_time_seconds,maximum_temperature_c,monitor_stress_magnitude_mpa,maximum_principal_stress_magnitude_mpa,maximum_damage,yielded_interfaces,broken_interfaces,maximum_opening_um,maximum_slip_um,kinetic_energy_j,bulk_strain_energy_j,cohesive_stored_energy_j,fracture_dissipation_j,damping_dissipation_j,kinetic_to_internal_ratio
0,0.0,preload,0.0,0.0,40.0,63.84666107479747,115.89767478767558,0.0,0,0,0.004216611641078614,1.4901248469335173,0.0,2242753.6425047494,2449.124015287984,0.0,0.0,0.0
300,0.008938275235488796,preload,0.0,0.0,40.0,63.846665192160906,115.91505597988267,0.0,0,0,0.004220349391953791,1.490125399950281,0.00010225616812250242,2242753.755550233,2449.106967740013,0.0,2.5842462679422974e-05,4.554428903935349e-11
599,0.01784675622019263,preload,0.0,0.0,40.0,63.84661334502195,115.92962203594053,0.0,0,0,0.004227498665769559,1.490126799017478,0.00011114034054510494,2242753.76816852,2449.116259347189,0.0,8.031756042675589e-05,4.950124610828933e-11
600,0.01787655047097759,heating,0.08333333333333333,500.0,140.0,63.90612918178911,312.61353274323716,0.0,0,0,0.004227665232000718,1.4901268046521554,0.00011120591188066338,2250039.7438761187,2449.1162657430186,0.0,8.049622340465602e-05,4.937023833878567e-11
900,0.02681482570646639,heating,0.08333333333333333,500.0,140.0,63.915476162250236,206.82568382346193,0.04104910067062373,60,0,0.0511039510296957,1.490128628645002,891.5234955413844,2247866.800821914,2469.347217872795,3.4893080084398433,361.2281580750149,0.0003961734767127875
1200,0.03575310094195518,heating,0.08333333333333333,500.0,140.0,63.94023970201044,278.1533349980984,0.5154072972719835,60,0,0.0646480295598005,6.340941659987103,605.5813447914292,2247555.066591594,2478.754043872299,13.314130594885212,823.0236878361193,0.0002691432187541064
1499,0.04466158192665902,heating,0.08333333333333333,500.0,140.0,63.99952532007236,217.5507778367294,1.0,60,14,3.8879885148191184,22.543731016073288,598.4228913424831,2246714.8699080287,2551.0636157950426,43.04722194850328,1174.099962669833,0.0002660525295934931
1500,0.04469137617744398,heating,0.16666666666666666,1000.0,140.0,64.18078848299794,228.0820873602695,1.0,60,14,3.927042506027086,22.57063015979085,596.1141070108407,2249703.1658056164,2553.6531176743256,43.16904357085317,1175.0576772348745,0.0002646741268590399
1800,0.05362965141293278,heating,0.16666666666666666,1000.0,140.0,64.27959516882163,261.80899053783526,1.0,60,20,8.530202884291516,32.96865992559098,550.3423940573963,2249461.408696887,2620.741016610734,58.454404902849404,1439.295922306825,0.00024437047917075716
2100,0.06256792664842158,heating,0.16666666666666666,1000.0,140.0,64.4653040333982,300.7573120543796,1.0,60,22,1.9690671014247445,20.427180798544946,429.0827902483241,2249291.389681097,2506.4090852518275,61.67325107627239,1714.563042836068,0.00019055120778757213
2399,0.0714764076331254,heating,0.16666666666666666,1000.0,140.0,64.7800981061598,278.0013486246099,1.0,60,26,4.71220261377742,36.99297453294188,380.4070112553234,2248840.6447842866,2689.088470481428,70.26546479211919,1913.631220051529,0.0001689549134691703
2400,0.07150620188391037,heating,0.25,1500.0,140.0,65.12071983607821,285.1519339624998,1.0,60,26,4.730630098443131,37.02033246476496,379.1415387763835,2251238.772431794,2682.3936844153613,70.27933248786037,1914.2403473471725,0.00016821419687437084
